orgnr,name,municipality,nace,website,email
819767122,10FOLD AS,0301,70.200,www.10fold.no,audun.berg@10fold.no
927237652,24 CENTER AS,0301,82.200,www.24center.no,kundeservice@24center.no
922020434,99X SOLVR AS,0301,70.200,solvr.no,hei@solvr.no
994921568,ABBAS CONSULTING,0301,70.200,www.proffregnskap.no,post@proffregnskap.no
893320172,ACCOUNTING AS,0301,69.202,www.accountingas.no,morten@accountingas.no
981947843,ACCOUNTOR AS,0301,69.202,www.accountor.no,hei@accountor.no
958466013,ACCOUNTOR VAT-SERVICE AS,0301,69.202,www.accountor.no,hei@accountor.no
987840846,ACS FINANS AS,0301,69.202,www.acsfinans.no,info@acsfinans.no
996552330,ACTECAN AS,0301,82.990,www.actecan.no,post@actecan.no
976296648,ACTIVE DEAL INTERNATIONAL AS,0301,70.200,www.activedeal.no,post@activedeal.no
